Date,Last Price,Volume,RSI,MACD,News Sentiment - Daily Average,News Publication Count,P/E,P/B,Correction
1/7/2019,147.93,54777764,34.8959,0.1182,0.2478,3522,35.50035997,6.564879558,1
1/4/2019,148.26,58607072,35.1004,0.0688,-0.7728,10301,35.57955364,6.579524392,0
1/3/2019,142.19,91312192,27.8833,0.0836,-0.7797,8369,34.12287017,6.310148208,1
1/2/2019,157.92,37039736,38.0708,0.8512,0.1281,1375,37.89776818,7.008218616,0
12/31/2018,157.74,35003464,37.8294,0.5364,0.1497,1002,37.85457163,7.000230524,1
12/28/2018,156.23,42291424,35.8829,0.1441,0.1594,2314,56.27881844,7.061385452,1
12/27/2018,156.15,53117064,35.784,-0.2016,0.2507,2028,56.25,7.05776956,1
12/26/2018,157.17,58582544,36.4497,-0.5894,0.0195,1425,56.61743516,7.103872185,0
12/24/2018,146.83,37169232,22.9578,-1.1243,0.1341,1277,52.8926513,6.63651812,1
12/21/2018,150.73,95744384,24.802,-0.6949,0.2556,3821,54.29755043,6.812792864,0
12/20/2018,156.83,64772960,28.0777,-0.2168,0.122,2214,56.49495677,7.088504643,0
12/19/2018,160.89,49047296,30.5734,0.0725,0.1376,2233,57.9574928,7.272011172,0
12/18/2018,166.07,33841520,34.1718,0.2433,-0.2057,2535,59.82348703,7.506140191,0
12/17/2018,163.94,44287920,31.0743,0.0968,-0.1659,1667,59.05619597,7.409867061,1
12/14/2018,165.48,40703712,32.0879,0.2017,0.1467,3837,59.61095101,7.479472986,0
12/13/2018,170.95,31897828,35.9566,0.3256,0.2665,3004,61.5814121,7.726709614,0
12/12/2018,169.1,35627672,33.4363,0.07,0.117,3068,60.91498559,7.643092107,1
12/11/2018,168.63,47281664,32.8125,-0.0233,-0.1946,6511,60.74567723,7.621848741,1
12/10/2018,169.6,62025992,33.4126,0.01,-0.1882,1776,61.09510086,7.665691433,0
12/7/2018,168.49,42281632,32.0931,0.0957,-0.101,2890,60.69524496,7.615520929,1
12/6/2018,174.72,43098408,35.7892,0.4698,0.0697,2723,62.93948127,7.897108533,0
12/4/2018,176.69,41344280,37.0418,0.5256,0.1788,3576,63.64913545,7.986149878,0
12/3/2018,184.82,40798000,42.7797,0.5045,0.2352,1986,66.5778098,8.353614922,0
11/30/2018,178.58,39531548,35.6786,-0.2629,0.1235,2280,64.32997118,8.071575331,1
11/29/2018,179.55,41769992,36.3294,-0.692,0.1771,2657,64.67939481,8.115418024,0
11/28/2018,180.94,46062540,37.2331,-1.2802,0.2329,3529,65.18011527,8.178244151,0
